[Connect DataFile][2.1]
Date:	20/04/2026
Time:	11:19:49
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
001:44:00,000	11,8	23,3	23,9	11,8	0,0	0,0	0,0	0,950	0,000	5021,065	0,0	11,9		13:03:49:473		
001:45:00,000	11,7	23,0	23,4	11,7	0,0	0,0	0,0	0,950	0,000	5019,944	0,0	11,9		13:04:49:473		
001:46:00,000	11,2	22,6	23,1	11,2	0,0	0,0	0,0	0,950	0,000	5020,561	0,0	11,1		13:05:49:473		
001:47:00,000	11,1	22,2	22,9	11,1	0,0	0,0	0,0	0,950	0,000	5020,556	0,0	11,2		13:06:49:473		
001:48:00,000	13,3	22,6	22,6	13,3	0,0	0,0	0,0	0,950	0,000	5018,944	0,0	13,4		13:07:49:473		
001:49:00,000	13,3	23,5	22,9	13,3	0,0	0,0	0,0	0,950	0,000	5020,519	0,0	13,3		13:08:49:473		
001:50:00,000	12,9	23,8	23,2	12,9	0,0	0,0	0,0	0,950	0,000	5019,889	0,0	13,1		13:09:49:473		
001:51:00,000	13,9	24,8	23,9	13,9	0,0	0,0	0,0	0,950	0,000	5021,593	0,0	14,0		13:10:49:473		
001:52:00,000	13,8	24,7	24,0	13,8	0,0	0,0	0,0	0,950	0,000	5021,741	0,0	13,8		13:11:49:473		
001:53:00,000	13,1	25,3	24,5	13,1	0,0	0,0	0,0	0,950	0,000	5021,463	0,0	13,3		13:12:49:473		
001:54:00,000	11,5	25,0	24,7	11,5	0,0	0,0	0,0	0,950	0,000	5021,546	0,0	11,5		13:13:49:473		
001:55:00,000	11,4	25,6	25,1	11,4	0,0	0,0	0,0	0,950	0,000	5022,617	0,0	11,5		13:14:49:473		
001:56:00,000	12,9	26,0	25,4	12,9	0,0	0,0	0,0	0,950	0,000	5022,944	0,0	12,9		13:15:49:473		
001:57:00,000	13,8	26,6	25,7	13,8	0,0	0,0	0,0	0,950	0,000	5023,204	0,0	13,9		13:16:49:473		
001:58:00,000	14,3	27,2	26,3	14,3	0,0	0,0	0,0	0,950	0,000	5024,092	0,0	14,4		13:17:49:473		
001:59:00,000	14,0	27,0	26,4	14,0	0,0	0,0	0,0	0,950	0,000	5022,822	0,0	14,1		13:18:49:473		
002:00:00,000	14,0	27,3	26,5	14,0	0,0	0,0	0,0	0,950	0,000	5023,787	0,0	14,1		13:19:49:473		
002:01:00,000	12,7	27,9	27,0	12,7	0,0	0,0	0,0	0,950	0,000	5024,430	0,0	12,7		13:20:49:473		
002:02:00,000	12,7	28,2	27,5	12,7	0,0	0,0	0,0	0,950	0,000	5024,926	0,0	12,7		13:21:49:473		
002:03:00,000	9,5	27,1	27,5	9,5	0,0	0,0	0,0	0,950	0,000	5024,028	0,0	9,6		13:22:49:473		
002:04:00,000	-4,6	26,2	26,9	-4,6	0,0	0,0	0,0	0,950	0,000	5024,676	0,0	-4,6		13:23:49:473		
002:05:00,000	-23,5	25,5	26,4	-23,5	0,0	0,0	0,0	0,950	0,000	5022,796	0,0	-23,5		13:24:49:473		
002:06:00,000	-28,4	24,8	25,7	-28,4	0,0	0,0	0,0	0,950	0,000	5023,355	0,0	-28,3		13:25:49:473		
002:07:00,000	-22,9	24,7	25,2	-22,9	0,0	0,0	0,0	0,950	0,000	5023,129	0,0	-22,8		13:26:49:473		
002:08:00,000	-0,9	25,5	25,2	-0,9	0,0	0,0	0,0	0,950	0,000	5022,815	0,0	-0,6		13:27:49:473		
002:09:00,000	8,5	26,0	25,6	8,5	0,0	0,0	0,0	0,950	0,000	5022,519	0,0	8,7		13:28:49:473		
002:10:00,000	8,0	27,4	26,5	8,0	0,0	0,0	0,0	0,950	0,000	5024,102	0,0	7,9		13:29:49:473		
002:11:00,000	-7,6	28,7	27,7	-7,6	0,0	0,0	0,0	0,950	0,000	5025,486	0,0	-7,5		13:30:49:473		
002:12:00,000	-14,3	28,7	28,3	-14,3	0,0	0,0	0,0	0,950	0,000	5027,241	0,0	-14,0		13:31:49:473		
002:13:00,000	-27,5	27,7	28,3	-27,4	0,0	0,0	0,0	0,950	0,000	5025,907	0,0	-27,2		13:32:49:473		
002:14:00,000	-26,0	26,7	27,6	-26,0	0,0	0,0	0,0	0,950	0,000	5023,748	0,0	-26,1		13:33:49:473		
002:15:00,000	-16,4	26,3	27,0	-16,4	0,0	0,0	0,0	0,950	0,000	5023,787	0,0	-16,1		13:34:49:473		
002:16:00,000	-1,1	25,9	26,7	-1,1	0,0	0,0	0,0	0,950	0,000	5023,333	0,0	-1,0		13:35:49:473		
002:17:00,000	8,0	25,8	26,5	8,0	0,0	0,0	0,0	0,950	0,000	5023,213	0,0	8,1		13:36:49:473		
002:18:00,000	9,0	25,9	26,5	9,0	0,0	0,0	0,0	0,950	0,000	5024,121	0,0	9,1		13:37:49:473		
002:19:00,000	6,6	25,5	26,2	6,6	0,0	0,0	0,0	0,950	0,000	5023,315	0,0	6,6		13:38:49:473		
002:20:00,000	1,2	25,6	26,1	1,2	0,0	0,0	0,0	0,950	0,000	5022,953	0,0	1,2		13:39:49:473		
002:21:00,000	-23,9	25,4	25,9	-23,9	0,0	0,0	0,0	0,950	0,000	5022,917	0,0	-23,8		13:40:49:473		
002:22:00,000	-21,4	24,8	25,5	-21,4	0,0	0,0	0,0	0,950	0,000	5022,954	0,0	-21,1		13:41:49:473		
002:23:00,000	7,2	24,3	25,0	7,2	0,0	0,0	0,0	0,950	0,000	5021,889	0,0	7,2		13:42:49:473		
002:24:00,000	8,3	24,3	24,8	8,3	0,0	0,0	0,0	0,950	0,000	5021,701	0,0	8,4		13:43:49:473		
002:25:00,000	7,4	24,6	24,8	7,4	0,0	0,0	0,0	0,950	0,000	5021,657	0,0	7,4		13:44:49:473		
002:26:00,000	7,0	24,5	24,8	7,0	0,0	0,0	0,0	0,950	0,000	5023,206	0,0	7,0		13:45:49:473		
002:27:00,000	-2,4	24,0	24,8	-2,4	0,0	0,0	0,0	0,950	0,000	5022,917	0,0	-2,3		13:46:49:473		
002:28:00,000	-22,8	23,8	24,6	-22,8	0,0	0,0	0,0	0,950	0,000	5021,148	0,0	-22,5		13:47:49:473		
002:29:00,000	-31,0	23,5	24,4	-30,9	0,0	0,0	0,0	0,950	0,000	5021,204	0,0	-30,8		13:48:49:473		
002:30:00,000	-28,9	23,1	24,0	-28,9	0,0	0,0	0,0	0,950	0,000	5021,129	0,0	-28,7		13:49:49:473		
002:31:00,000	-40,0	23,2	23,9	-40,0	0,0	0,0	0,0	0,950	0,000	5020,879	0,0	-40,0		13:50:49:473		
002:32:00,000	-36,5	23,4	23,9	-36,5	0,0	0,0	0,0	0,950	0,000	5021,065	0,0	-36,2		13:51:49:473		
